CExportacion,cfdi_40_exportaciones
CFormaPago,cfdi_40_formas_pago
CImpuesto,cfdi_40_impuestos
CMeses,cfdi_40_meses
CObjetoImp,cfdi_40_objetos_impuestos
CPeriodicidad,cfdi_40_periodicidades
CRegimenFiscal,cfdi_40_regimenes_fiscales
CTipoDeComprobante,cfdi_40_tipos_comprobantes
CTipoFactor,cfdi_40_tipos_factores
CTipoRelacion,cfdi_40_tipos_relaciones
CBanco,nomina_bancos
COrigenRecurso,nomina_origenes_recursos
CPeriodicidadPago,nomina_periodicidades_pagos
CRiesgoPuesto,nomina_riesgos_puestos
CTipoContrato,nomina_tipos_contratos
CTipoDeduccion,nomina_tipos_deducciones
CTipoHoras,nomina_tipos_horas
CTipoIncapacidad,nomina_tipos_incapacidades
CTipoJornada,nomina_tipos_jornadas
CTipoNomina,nomina_tipos_nominas
CTipoOtroPago,nomina_tipos_otros_pagos
CTipoPercepcion,nomina_tipos_percepciones
CTipoRegimen,nomina_tipos_regimenes
CTipoCadenaPago,pagos_tipos_cadena_pago
